antecedent,consequent,support,confidence,lift
{other vegetables brown bread}, {whole milk shopping bags}, 0.011, 0.18, 1.974
{other vegetables canned beer whole milk}, {shopping bags}, 0.011, 0.295, 1.75
{other vegetables whole milk}, {canned beer shopping bags}, 0.011, 0.058, 1.715
{whole milk canned beer shopping bags}, {other vegetables}, 0.011, 0.5, 1.328
{whole milk}, {other vegetables canned beer shopping bags}, 0.011, 0.024, 1.514
{whole milk shopping bags}, {other vegetables canned beer}, 0.011, 0.121, 1.797
{other vegetables}, {whole milk canned beer shopping bags}, 0.011, 0.029, 1.328
{canned beer shopping bags}, {other vegetables whole milk}, 0.011, 0.328, 1.715
{canned beer}, {other vegetables shopping bags whole milk}, 0.011, 0.067, 1.559
{shopping bags}, {other vegetables canned beer whole milk}, 0.011, 0.066, 1.75
{other vegetables canned beer}, {whole milk shopping bags}, 0.011, 0.164, 1.797
{other vegetables shopping bags}, {canned beer whole milk}, 0.011, 0.151, 1.73
{other vegetables shopping bags whole milk}, {canned beer}, 0.011, 0.257, 1.559
{canned beer whole milk}, {other vegetables shopping bags}, 0.011, 0.126, 1.73
{other vegetables canned beer shopping bags}, {whole milk}, 0.011, 0.694, 1.514
{other vegetables whole milk}, {root vegetables}, 0.045, 0.237, 1.029
{whole milk}, {other vegetables root vegetables}, 0.045, 0.099, 1.053
{other vegetables}, {whole milk root vegetables}, 0.045, 0.121, 1.066
{other vegetables root vegetables}, {whole milk}, 0.045, 0.482, 1.053
{root vegetables}, {other vegetables whole milk}, 0.045, 0.197, 1.029
{whole milk root vegetables}, {other vegetables}, 0.045, 0.401, 1.066
{whole milk citrus fruit}, {other vegetables root vegetables}, 0.01, 0.111, 1.18
{other vegetables whole milk}, {root vegetables citrus fruit}, 0.01, 0.054, 1.174
{root vegetables citrus fruit}, {other vegetables whole milk}, 0.01, 0.225, 1.174
{other vegetables root vegetables whole milk}, {citrus fruit}, 0.01, 0.226, 1.218
{whole milk}, {other vegetables root vegetables citrus fruit}, 0.01, 0.022, 1.213
{other vegetables root vegetables citrus fruit}, {whole milk}, 0.01, 0.556, 1.213
{other vegetables}, {whole milk root vegetables citrus fruit}, 0.01, 0.027, 1.052
{other vegetables root vegetables}, {whole milk citrus fruit}, 0.01, 0.109, 1.18
{other vegetables whole milk citrus fruit}, {root vegetables}, 0.01, 0.241, 1.045
{whole milk root vegetables citrus fruit}, {other vegetables}, 0.01, 0.396, 1.052
{root vegetables}, {other vegetables whole milk citrus fruit}, 0.01, 0.044, 1.045
{other vegetables citrus fruit}, {whole milk root vegetables}, 0.01, 0.132, 1.171
{whole milk root vegetables}, {other vegetables citrus fruit}, 0.01, 0.091, 1.171
{citrus fruit}, {other vegetables root vegetables whole milk}, 0.01, 0.055, 1.218
{bottled beer whole milk}, {other vegetables root vegetables}, 0.011, 0.126, 1.34
{other vegetables whole milk}, {bottled beer root vegetables}, 0.011, 0.056, 1.314
{other vegetables root vegetables whole milk}, {bottled beer}, 0.011, 0.237, 1.494
{whole milk}, {other vegetables bottled beer root vegetables}, 0.011, 0.024, 1.146
{whole milk bottled beer root vegetables}, {other vegetables}, 0.011, 0.438, 1.162
{other vegetables}, {whole milk bottled beer root vegetables}, 0.011, 0.029, 1.162
{other vegetables bottled beer root vegetables}, {whole milk}, 0.011, 0.525, 1.146
{other vegetables root vegetables}, {bottled beer whole milk}, 0.011, 0.114, 1.34
{root vegetables}, {other vegetables bottled beer whole milk}, 0.011, 0.047, 1.206
{other vegetables bottled beer whole milk}, {root vegetables}, 0.011, 0.278, 1.206
{whole milk root vegetables}, {other vegetables bottled beer}, 0.011, 0.095, 1.39
{bottled beer}, {other vegetables root vegetables whole milk}, 0.011, 0.068, 1.494
{other vegetables bottled beer}, {whole milk root vegetables}, 0.011, 0.157, 1.39
{bottled beer root vegetables}, {other vegetables whole milk}, 0.011, 0.251, 1.314
{other vegetables canned beer whole milk}, {root vegetables}, 0.012, 0.308, 1.336
{other vegetables whole milk}, {canned beer root vegetables}, 0.012, 0.06, 1.271
{other vegetables root vegetables whole milk}, {canned beer}, 0.012, 0.254, 1.539
{whole milk}, {other vegetables canned beer root vegetables}, 0.012, 0.025, 1.198
{other vegetables}, {whole milk canned beer root vegetables}, 0.012, 0.031, 1.106
{canned beer root vegetables}, {other vegetables whole milk}, 0.012, 0.243, 1.271
{canned beer}, {other vegetables root vegetables whole milk}, 0.012, 0.07, 1.539
{other vegetables root vegetables}, {canned beer whole milk}, 0.012, 0.123, 1.406
{other vegetables canned beer}, {whole milk root vegetables}, 0.012, 0.172, 1.518
{root vegetables}, {other vegetables canned beer whole milk}, 0.012, 0.05, 1.336
{canned beer whole milk}, {other vegetables root vegetables}, 0.012, 0.132, 1.406
{whole milk root vegetables}, {other vegetables canned beer}, 0.012, 0.102, 1.518
{whole milk canned beer root vegetables}, {other vegetables}, 0.012, 0.417, 1.106
{other vegetables canned beer root vegetables}, {whole milk}, 0.012, 0.549, 1.198
{other vegetables whole milk}, {pastry root vegetables}, 0.012, 0.062, 1.321
{other vegetables root vegetables whole milk}, {pastry}, 0.012, 0.26, 1.464
{pastry other vegetables root vegetables}, {whole milk}, 0.012, 0.582, 1.271
{whole milk}, {pastry other vegetables root vegetables}, 0.012, 0.026, 1.271
{pastry}, {other vegetables root vegetables whole milk}, 0.012, 0.066, 1.464
{pastry other vegetables}, {whole milk root vegetables}, 0.012, 0.165, 1.457
{other vegetables}, {pastry whole milk root vegetables}, 0.012, 0.031, 1.246
{other vegetables root vegetables}, {pastry whole milk}, 0.012, 0.125, 1.376
{pastry whole milk}, {other vegetables root vegetables}, 0.012, 0.13, 1.376
{root vegetables}, {pastry other vegetables whole milk}, 0.012, 0.051, 1.224
{pastry root vegetables}, {other vegetables whole milk}, 0.012, 0.253, 1.321
{whole milk root vegetables}, {pastry other vegetables}, 0.012, 0.104, 1.457
{pastry other vegetables whole milk}, {root vegetables}, 0.012, 0.282, 1.224
{pastry whole milk root vegetables}, {other vegetables}, 0.012, 0.469, 1.246
{other vegetables whole milk}, {root vegetables shopping bags}, 0.014, 0.072, 1.525
{other vegetables root vegetables whole milk}, {shopping bags}, 0.014, 0.305, 1.813
{whole milk}, {other vegetables root vegetables shopping bags}, 0.014, 0.03, 1.355
{whole milk shopping bags}, {other vegetables root vegetables}, 0.014, 0.152, 1.611
{whole milk root vegetables shopping bags}, {other vegetables}, 0.014, 0.474, 1.258
{root vegetables shopping bags}, {other vegetables whole milk}, 0.014, 0.292, 1.525
{other vegetables}, {whole milk root vegetables shopping bags}, 0.014, 0.037, 1.258
{other vegetables root vegetables}, {whole milk shopping bags}, 0.014, 0.147, 1.611
{shopping bags}, {other vegetables root vegetables whole milk}, 0.014, 0.082, 1.813
{root vegetables}, {other vegetables shopping bags whole milk}, 0.014, 0.06, 1.402
{other vegetables shopping bags}, {whole milk root vegetables}, 0.014, 0.189, 1.675
{other vegetables shopping bags whole milk}, {root vegetables}, 0.014, 0.323, 1.402
{whole milk root vegetables}, {other vegetables shopping bags}, 0.014, 0.122, 1.675
{other vegetables root vegetables shopping bags}, {whole milk}, 0.014, 0.621, 1.355
{other vegetables whole milk}, {sausage}, 0.05, 0.263, 1.275
{whole milk}, {other vegetables sausage}, 0.05, 0.11, 1.182
{other vegetables}, {whole milk sausage}, 0.05, 0.134, 1.248
{other vegetables sausage}, {whole milk}, 0.05, 0.541, 1.182
{sausage}, {other vegetables whole milk}, 0.05, 0.244, 1.275
{whole milk sausage}, {other vegetables}, 0.05, 0.47, 1.248
{other vegetables whole milk}, {brown bread sausage}, 0.01, 0.052, 1.487
{other vegetables whole milk sausage}, {brown bread}, 0.01, 0.199, 1.463
{whole milk}, {other vegetables brown bread sausage}, 0.01, 0.022, 1.31
{other vegetables brown bread whole milk}, {sausage}, 0.01, 0.293, 1.423
{other vegetables brown bread sausage}, {whole milk}, 0.01, 0.6, 1.31
{other vegetables}, {brown bread whole milk sausage}, 0.01, 0.027, 1.278
{other vegetables sausage}, {brown bread whole milk}, 0.01, 0.108, 1.544
{sausage}, {other vegetables brown bread whole milk}, 0.01, 0.049, 1.423
{brown bread whole milk}, {other vegetables sausage}, 0.01, 0.143, 1.544
{brown bread whole milk sausage}, {other vegetables}, 0.01, 0.481, 1.278
{whole milk sausage}, {other vegetables brown bread}, 0.01, 0.094, 1.565
{brown bread}, {other vegetables whole milk sausage}, 0.01, 0.074, 1.463
{brown bread sausage}, {other vegetables whole milk}, 0.01, 0.285, 1.487
{other vegetables brown bread}, {whole milk sausage}, 0.01, 0.167, 1.565
{other vegetables butter whole milk}, {sausage}, 0.01, 0.323, 1.566
{other vegetables whole milk}, {butter sausage}, 0.01, 0.054, 1.633
{other vegetables whole milk sausage}, {butter}, 0.01, 0.204, 1.614
{whole milk}, {other vegetables butter sausage}, 0.01, 0.022, 1.149
{other vegetables}, {whole milk butter sausage}, 0.01, 0.027, 1.562
{butter sausage}, {other vegetables whole milk}, 0.01, 0.312, 1.633
{butter}, {other vegetables whole milk sausage}, 0.01, 0.081, 1.614
{other vegetables sausage}, {whole milk butter}, 0.01, 0.11, 1.669
{other vegetables butter}, {whole milk sausage}, 0.01, 0.179, 1.677
{sausage}, {other vegetables butter whole milk}, 0.01, 0.05, 1.566
{whole milk butter}, {other vegetables sausage}, 0.01, 0.155, 1.669
{whole milk sausage}, {other vegetables butter}, 0.01, 0.096, 1.677
{whole milk butter sausage}, {other vegetables}, 0.01, 0.588, 1.562
{other vegetables butter sausage}, {whole milk}, 0.01, 0.526, 1.149
{other vegetables whole milk}, {curd sausage}, 0.01, 0.054, 1.672
{other vegetables whole milk sausage}, {curd}, 0.01, 0.204, 1.689
{whole milk}, {other vegetables curd sausage}, 0.01, 0.022, 1.505
{curd sausage}, {other vegetables whole milk}, 0.01, 0.32, 1.672
{curd whole milk sausage}, {other vegetables}, 0.01, 0.541, 1.435
{other vegetables}, {curd whole milk sausage}, 0.01, 0.027, 1.435
{other vegetables sausage}, {curd whole milk}, 0.01, 0.11, 1.737
{sausage}, {other vegetables curd whole milk}, 0.01, 0.05, 1.718
{other vegetables curd whole milk}, {sausage}, 0.01, 0.354, 1.718
{other vegetables curd}, {whole milk sausage}, 0.01, 0.199, 1.86
{other vegetables curd sausage}, {whole milk}, 0.01, 0.69, 1.505
{curd}, {other vegetables whole milk sausage}, 0.01, 0.085, 1.689
{whole milk sausage}, {other vegetables curd}, 0.01, 0.096, 1.86
{curd whole milk}, {other vegetables sausage}, 0.01, 0.161, 1.737
{other vegetables whole milk}, {pastry sausage}, 0.011, 0.056, 1.389
{other vegetables whole milk sausage}, {pastry}, 0.011, 0.214, 1.207
{pastry other vegetables sausage}, {whole milk}, 0.011, 0.592, 1.291
{whole milk}, {pastry other vegetables sausage}, 0.011, 0.024, 1.291
{pastry}, {other vegetables whole milk sausage}, 0.011, 0.061, 1.207
{pastry other vegetables}, {whole milk sausage}, 0.011, 0.151, 1.407
{other vegetables}, {pastry whole milk sausage}, 0.011, 0.029, 1.267
{other vegetables sausage}, {pastry whole milk}, 0.011, 0.116, 1.274
{pastry whole milk}, {other vegetables sausage}, 0.011, 0.118, 1.274
{sausage}, {pastry other vegetables whole milk}, 0.011, 0.052, 1.251
{pastry sausage}, {other vegetables whole milk}, 0.011, 0.266, 1.389
{whole milk sausage}, {pastry other vegetables}, 0.011, 0.101, 1.407
{pastry other vegetables whole milk}, {sausage}, 0.011, 0.258, 1.251
{pastry whole milk sausage}, {other vegetables}, 0.011, 0.477, 1.267
{pip fruit whole milk sausage}, {other vegetables}, 0.011, 0.478, 1.27
{other vegetables whole milk}, {pip fruit sausage}, 0.011, 0.059, 1.402
{pip fruit sausage}, {other vegetables whole milk}, 0.011, 0.268, 1.402
{other vegetables whole milk sausage}, {pip fruit}, 0.011, 0.224, 1.316
{whole milk}, {other vegetables pip fruit sausage}, 0.011, 0.025, 1.13
{other vegetables}, {pip fruit whole milk sausage}, 0.011, 0.03, 1.27
{other vegetables sausage}, {pip fruit whole milk}, 0.011, 0.122, 1.398
{pip fruit whole milk}, {other vegetables sausage}, 0.011, 0.13, 1.398
{whole milk sausage}, {other vegetables pip fruit}, 0.011, 0.106, 1.459
{sausage}, {other vegetables pip fruit whole milk}, 0.011, 0.055, 1.378
{pip fruit}, {other vegetables whole milk sausage}, 0.011, 0.066, 1.316
{other vegetables pip fruit sausage}, {whole milk}, 0.011, 0.518, 1.13
{other vegetables pip fruit}, {whole milk sausage}, 0.011, 0.156, 1.459
{other vegetables pip fruit whole milk}, {sausage}, 0.011, 0.284, 1.378
{whole milk citrus fruit}, {other vegetables sausage}, 0.012, 0.125, 1.346
{other vegetables whole milk}, {sausage citrus fruit}, 0.012, 0.06, 1.537
{sausage citrus fruit}, {other vegetables whole milk}, 0.012, 0.294, 1.537
{other vegetables sausage citrus fruit}, {whole milk}, 0.012, 0.542, 1.183
{whole milk}, {other vegetables sausage citrus fruit}, 0.012, 0.025, 1.183
{other vegetables whole milk sausage}, {citrus fruit}, 0.012, 0.23, 1.238
{other vegetables}, {sausage whole milk citrus fruit}, 0.012, 0.031, 1.532
{other vegetables sausage}, {whole milk citrus fruit}, 0.012, 0.124, 1.346
{other vegetables whole milk citrus fruit}, {sausage}, 0.012, 0.271, 1.316
{sausage whole milk citrus fruit}, {other vegetables}, 0.012, 0.577, 1.532
{sausage}, {other vegetables whole milk citrus fruit}, 0.012, 0.056, 1.316
{other vegetables citrus fruit}, {whole milk sausage}, 0.012, 0.149, 1.393
{whole milk sausage}, {other vegetables citrus fruit}, 0.012, 0.108, 1.393
{citrus fruit}, {other vegetables whole milk sausage}, 0.012, 0.062, 1.238
{whipped/sour cream}, {other vegetables whole milk sausage}, 0.012, 0.075, 1.484
{other vegetables whole milk}, {whipped/sour cream sausage}, 0.012, 0.06, 1.547
{other vegetables whole milk sausage}, {whipped/sour cream}, 0.012, 0.23, 1.484
{whole milk}, {whipped/sour cream other vegetables sausage}, 0.012, 0.025, 1.31
{whipped/sour cream other vegetables whole milk}, {sausage}, 0.012, 0.315, 1.528
{other vegetables}, {whipped/sour cream whole milk sausage}, 0.012, 0.031, 1.328
{other vegetables sausage}, {whipped/sour cream whole milk}, 0.012, 0.124, 1.558
{sausage}, {whipped/sour cream other vegetables whole milk}, 0.012, 0.056, 1.528
{whipped/sour cream other vegetables sausage}, {whole milk}, 0.012, 0.6, 1.31
{whipped/sour cream whole milk sausage}, {other vegetables}, 0.012, 0.5, 1.328
{whole milk sausage}, {whipped/sour cream other vegetables}, 0.012, 0.108, 1.612
{whipped/sour cream whole milk}, {other vegetables sausage}, 0.012, 0.145, 1.558
{whipped/sour cream sausage}, {other vegetables whole milk}, 0.012, 0.296, 1.547
{whipped/sour cream other vegetables}, {whole milk sausage}, 0.012, 0.172, 1.612
{other vegetables whole milk}, {shopping bags sausage}, 0.012, 0.064, 1.742
{other vegetables whole milk sausage}, {shopping bags}, 0.012, 0.245, 1.455
{whole milk}, {other vegetables shopping bags sausage}, 0.012, 0.027, 1.397
{whole milk shopping bags}, {other vegetables sausage}, 0.012, 0.135, 1.452
{whole milk shopping bags sausage}, {other vegetables}, 0.012, 0.558, 1.482
{shopping bags sausage}, {other vegetables whole milk}, 0.012, 0.333, 1.742
{other vegetables}, {whole milk shopping bags sausage}, 0.012, 0.033, 1.482
{other vegetables sausage}, {whole milk shopping bags}, 0.012, 0.133, 1.452
{shopping bags}, {other vegetables whole milk sausage}, 0.012, 0.073, 1.455
{sausage}, {other vegetables shopping bags whole milk}, 0.012, 0.06, 1.395
{other vegetables shopping bags}, {whole milk sausage}, 0.012, 0.168, 1.574
{other vegetables shopping bags whole milk}, {sausage}, 0.012, 0.287, 1.395
{whole milk sausage}, {other vegetables shopping bags}, 0.012, 0.115, 1.574
{other vegetables shopping bags sausage}, {whole milk}, 0.012, 0.64, 1.397
{bottled beer whole milk}, {other vegetables sausage}, 0.013, 0.147, 1.584
{other vegetables whole milk}, {bottled beer sausage}, 0.013, 0.066, 1.652
{other vegetables whole milk sausage}, {bottled beer}, 0.013, 0.25, 1.574
{whole milk}, {other vegetables bottled beer sausage}, 0.013, 0.027, 1.337
{bottled beer whole milk sausage}, {other vegetables}, 0.013, 0.551, 1.462
{other vegetables}, {bottled beer whole milk sausage}, 0.013, 0.033, 1.462
{other vegetables bottled beer sausage}, {whole milk}, 0.013, 0.612, 1.337
{other vegetables sausage}, {bottled beer whole milk}, 0.013, 0.135, 1.584
{sausage}, {other vegetables bottled beer whole milk}, 0.013, 0.061, 1.575
{other vegetables bottled beer whole milk}, {sausage}, 0.013, 0.325, 1.575
{whole milk sausage}, {other vegetables bottled beer}, 0.013, 0.118, 1.715
{bottled beer}, {other vegetables whole milk sausage}, 0.013, 0.079, 1.574
{other vegetables bottled beer}, {whole milk sausage}, 0.013, 0.184, 1.715
{bottled beer sausage}, {other vegetables whole milk}, 0.013, 0.316, 1.652
{other vegetables root vegetables sausage}, {whole milk}, 0.014, 0.514, 1.122
{other vegetables whole milk}, {root vegetables sausage}, 0.014, 0.074, 1.312
{other vegetables root vegetables whole milk}, {sausage}, 0.014, 0.311, 1.508
{other vegetables whole milk sausage}, {root vegetables}, 0.014, 0.281, 1.217
{whole milk}, {other vegetables root vegetables sausage}, 0.014, 0.031, 1.122
{other vegetables}, {whole milk root vegetables sausage}, 0.014, 0.037, 1.227
{other vegetables root vegetables}, {whole milk sausage}, 0.014, 0.15, 1.401
{other vegetables sausage}, {whole milk root vegetables}, 0.014, 0.152, 1.343
{root vegetables sausage}, {other vegetables whole milk}, 0.014, 0.251, 1.312
{sausage}, {other vegetables root vegetables whole milk}, 0.014, 0.068, 1.508
{root vegetables}, {other vegetables whole milk sausage}, 0.014, 0.061, 1.217
{whole milk sausage}, {other vegetables root vegetables}, 0.014, 0.132, 1.401
{whole milk root vegetables sausage}, {other vegetables}, 0.014, 0.462, 1.227
{whole milk root vegetables}, {other vegetables sausage}, 0.014, 0.125, 1.343
{other vegetables whole milk}, {tropical fruit}, 0.051, 0.264, 1.13
{whole milk}, {other vegetables tropical fruit}, 0.051, 0.11, 1.208
{tropical fruit whole milk}, {other vegetables}, 0.051, 0.434, 1.152
{other vegetables}, {tropical fruit whole milk}, 0.051, 0.134, 1.152
{other vegetables tropical fruit}, {whole milk}, 0.051, 0.553, 1.208
{tropical fruit}, {other vegetables whole milk}, 0.051, 0.216, 1.13
{other vegetables pip fruit tropical fruit}, {whole milk}, 0.01, 0.513, 1.119
{other vegetables whole milk}, {tropical fruit pip fruit}, 0.01, 0.054, 1.229
{whole milk}, {other vegetables pip fruit tropical fruit}, 0.01, 0.022, 1.119
{tropical fruit whole milk}, {other vegetables pip fruit}, 0.01, 0.088, 1.218
{other vegetables}, {tropical fruit pip fruit whole milk}, 0.01, 0.027, 1.311
{other vegetables tropical fruit}, {pip fruit whole milk}, 0.01, 0.112, 1.292
{pip fruit whole milk}, {other vegetables tropical fruit}, 0.01, 0.118, 1.292
{tropical fruit}, {other vegetables pip fruit whole milk}, 0.01, 0.044, 1.104
{pip fruit}, {other vegetables tropical fruit whole milk}, 0.01, 0.06, 1.19
{tropical fruit pip fruit}, {other vegetables whole milk}, 0.01, 0.235, 1.229
{other vegetables pip fruit}, {tropical fruit whole milk}, 0.01, 0.142, 1.218
{other vegetables pip fruit whole milk}, {tropical fruit}, 0.01, 0.258, 1.104
{other vegetables tropical fruit whole milk}, {pip fruit}, 0.01, 0.203, 1.19
{tropical fruit pip fruit whole milk}, {other vegetables}, 0.01, 0.494, 1.311
{other vegetables whole milk}, {tropical fruit domestic eggs}, 0.011, 0.056, 1.638
{whole milk}, {other vegetables tropical fruit domestic eggs}, 0.011, 0.024, 1.389
{domestic eggs}, {other vegetables tropical fruit whole milk}, 0.011, 0.081, 1.601
{tropical fruit domestic eggs}, {other vegetables whole milk}, 0.011, 0.313, 1.638
{tropical fruit whole milk}, {other vegetables domestic eggs}, 0.011, 0.093, 1.701
{other vegetables domestic eggs}, {tropical fruit whole milk}, 0.011, 0.198, 1.701
{other vegetables}, {tropical fruit domestic eggs whole milk}, 0.011, 0.029, 1.43
{other vegetables tropical fruit}, {domestic eggs whole milk}, 0.011, 0.118, 1.678
{tropical fruit}, {other vegetables domestic eggs whole milk}, 0.011, 0.046, 1.51
{domestic eggs whole milk}, {other vegetables tropical fruit}, 0.011, 0.153, 1.678
{other vegetables tropical fruit domestic eggs}, {whole milk}, 0.011, 0.636, 1.389
{other vegetables tropical fruit whole milk}, {domestic eggs}, 0.011, 0.213, 1.601
{other vegetables domestic eggs whole milk}, {tropical fruit}, 0.011, 0.353, 1.51
{tropical fruit domestic eggs whole milk}, {other vegetables}, 0.011, 0.538, 1.43
{tropical fruit root vegetables whole milk}, {other vegetables}, 0.011, 0.379, 1.007
{other vegetables whole milk}, {tropical fruit root vegetables}, 0.011, 0.059, 1.026
{other vegetables root vegetables whole milk}, {tropical fruit}, 0.011, 0.249, 1.064
{whole milk}, {other vegetables tropical fruit root vegetables}, 0.011, 0.025, 1.13
{tropical fruit whole milk}, {other vegetables root vegetables}, 0.011, 0.097, 1.029
{other vegetables}, {tropical fruit root vegetables whole milk}, 0.011, 0.03, 1.007
{other vegetables tropical fruit}, {whole milk root vegetables}, 0.011, 0.124, 1.092
{other vegetables root vegetables}, {tropical fruit whole milk}, 0.011, 0.12, 1.029
{tropical fruit}, {other vegetables root vegetables whole milk}, 0.011, 0.048, 1.064
{root vegetables}, {other vegetables tropical fruit whole milk}, 0.011, 0.049, 0.968
{tropical fruit root vegetables}, {other vegetables whole milk}, 0.011, 0.196, 1.026
{whole milk root vegetables}, {other vegetables tropical fruit}, 0.011, 0.1, 1.092
{other vegetables tropical fruit whole milk}, {root vegetables}, 0.011, 0.223, 0.968
{other vegetables tropical fruit root vegetables}, {whole milk}, 0.011, 0.518, 1.13
{other vegetables whole milk}, {tropical fruit shopping bags}, 0.012, 0.06, 1.351
{whole milk}, {other vegetables tropical fruit shopping bags}, 0.012, 0.025, 1.183
{whole milk shopping bags}, {other vegetables tropical fruit}, 0.012, 0.126, 1.384
{tropical fruit whole milk}, {other vegetables shopping bags}, 0.012, 0.099, 1.356
{other vegetables}, {tropical fruit shopping bags whole milk}, 0.012, 0.031, 1.219
{other vegetables tropical fruit}, {whole milk shopping bags}, 0.012, 0.126, 1.384
{tropical fruit}, {other vegetables shopping bags whole milk}, 0.012, 0.049, 1.153
{shopping bags}, {other vegetables tropical fruit whole milk}, 0.012, 0.069, 1.357
{tropical fruit shopping bags}, {other vegetables whole milk}, 0.012, 0.259, 1.351
{other vegetables shopping bags}, {tropical fruit whole milk}, 0.012, 0.158, 1.356
{other vegetables shopping bags whole milk}, {tropical fruit}, 0.012, 0.269, 1.153
{tropical fruit shopping bags whole milk}, {other vegetables}, 0.012, 0.459, 1.219
{other vegetables tropical fruit whole milk}, {shopping bags}, 0.012, 0.228, 1.357
{other vegetables tropical fruit shopping bags}, {whole milk}, 0.012, 0.542, 1.183
{other vegetables canned beer whole milk}, {tropical fruit}, 0.012, 0.315, 1.348
{other vegetables whole milk}, {tropical fruit canned beer}, 0.012, 0.062, 1.457
{tropical fruit canned beer whole milk}, {other vegetables}, 0.012, 0.484, 1.286
{whole milk}, {other vegetables canned beer tropical fruit}, 0.012, 0.026, 1.476
{tropical fruit whole milk}, {other vegetables canned beer}, 0.012, 0.101, 1.507
{other vegetables}, {tropical fruit canned beer whole milk}, 0.012, 0.031, 1.286
{other vegetables tropical fruit}, {canned beer whole milk}, 0.012, 0.129, 1.481
{canned beer}, {other vegetables tropical fruit whole milk}, 0.012, 0.071, 1.413
{tropical fruit}, {other vegetables canned beer whole milk}, 0.012, 0.05, 1.348
{tropical fruit canned beer}, {other vegetables whole milk}, 0.012, 0.279, 1.457
{other vegetables canned beer}, {tropical fruit whole milk}, 0.012, 0.176, 1.507
{canned beer whole milk}, {other vegetables tropical fruit}, 0.012, 0.135, 1.481
{other vegetables canned beer tropical fruit}, {whole milk}, 0.012, 0.676, 1.476
{other vegetables tropical fruit whole milk}, {canned beer}, 0.012, 0.234, 1.413
{other vegetables whole milk}, {pastry tropical fruit}, 0.012, 0.062, 1.335
{whole milk}, {pastry other vegetables tropical fruit}, 0.012, 0.026, 1.339
{pastry}, {other vegetables tropical fruit whole milk}, 0.012, 0.066, 1.315
{pastry tropical fruit}, {other vegetables whole milk}, 0.012, 0.256, 1.335
{tropical fruit whole milk}, {pastry other vegetables}, 0.012, 0.101, 1.416
{pastry other vegetables}, {tropical fruit whole milk}, 0.012, 0.165, 1.416
{other vegetables}, {pastry tropical fruit whole milk}, 0.012, 0.031, 1.272
{other vegetables tropical fruit}, {pastry whole milk}, 0.012, 0.129, 1.419
{tropical fruit}, {pastry other vegetables whole milk}, 0.012, 0.05, 1.208
{pastry whole milk}, {other vegetables tropical fruit}, 0.012, 0.13, 1.419
{pastry other vegetables tropical fruit}, {whole milk}, 0.012, 0.613, 1.339
{other vegetables tropical fruit whole milk}, {pastry}, 0.012, 0.234, 1.315
{pastry other vegetables whole milk}, {tropical fruit}, 0.012, 0.282, 1.208
{pastry tropical fruit whole milk}, {other vegetables}, 0.012, 0.479, 1.272
{bottled beer whole milk}, {other vegetables tropical fruit}, 0.012, 0.141, 1.545
{other vegetables whole milk}, {tropical fruit bottled beer}, 0.012, 0.063, 1.471
{whole milk}, {other vegetables tropical fruit bottled beer}, 0.012, 0.026, 1.35
{tropical fruit whole milk}, {other vegetables bottled beer}, 0.012, 0.104, 1.511
{other vegetables}, {tropical fruit bottled beer whole milk}, 0.012, 0.032, 1.342
{other vegetables tropical fruit}, {bottled beer whole milk}, 0.012, 0.132, 1.545
{other vegetables tropical fruit bottled beer}, {whole milk}, 0.012, 0.618, 1.35
{tropical fruit}, {other vegetables bottled beer whole milk}, 0.012, 0.052, 1.332
{other vegetables bottled beer whole milk}, {tropical fruit}, 0.012, 0.311, 1.332
{tropical fruit bottled beer}, {other vegetables whole milk}, 0.012, 0.281, 1.471
{tropical fruit bottled beer whole milk}, {other vegetables}, 0.012, 0.505, 1.342
{bottled beer}, {other vegetables tropical fruit whole milk}, 0.012, 0.076, 1.502
{other vegetables tropical fruit whole milk}, {bottled beer}, 0.012, 0.239, 1.502
{other vegetables bottled beer}, {tropical fruit whole milk}, 0.012, 0.176, 1.511
{whole milk citrus fruit}, {other vegetables tropical fruit}, 0.013, 0.139, 1.521
{other vegetables whole milk}, {tropical fruit citrus fruit}, 0.013, 0.067, 1.443
{whole milk}, {other vegetables tropical fruit citrus fruit}, 0.013, 0.028, 1.381
{tropical fruit whole milk}, {other vegetables citrus fruit}, 0.013, 0.11, 1.422
{other vegetables tropical fruit citrus fruit}, {whole milk}, 0.013, 0.633, 1.381
{other vegetables}, {tropical fruit whole milk citrus fruit}, 0.013, 0.034, 1.355
{other vegetables tropical fruit}, {whole milk citrus fruit}, 0.013, 0.14, 1.521
{tropical fruit whole milk citrus fruit}, {other vegetables}, 0.013, 0.51, 1.355
{tropical fruit}, {other vegetables whole milk citrus fruit}, 0.013, 0.055, 1.289
{other vegetables whole milk citrus fruit}, {tropical fruit}, 0.013, 0.301, 1.289
{tropical fruit citrus fruit}, {other vegetables whole milk}, 0.013, 0.276, 1.443
{other vegetables tropical fruit whole milk}, {citrus fruit}, 0.013, 0.254, 1.368
{other vegetables citrus fruit}, {tropical fruit whole milk}, 0.013, 0.166, 1.422
{citrus fruit}, {other vegetables tropical fruit whole milk}, 0.013, 0.069, 1.368
{tropical fruit whole milk sausage}, {other vegetables}, 0.014, 0.461, 1.224
{other vegetables whole milk}, {tropical fruit sausage}, 0.014, 0.071, 1.3
{other vegetables whole milk sausage}, {tropical fruit}, 0.014, 0.27, 1.157
{whole milk}, {other vegetables tropical fruit sausage}, 0.014, 0.03, 1.271
